id,name,age,salary,hire_date,department,bonus,address,phone,email
1,Name_103,77.0,60000.0,2019-12-30,Marketing,3436.0,"Street 37, City 13",5917896310,email_469@example.com
2,Name_436,62.0,50000.0,2025-05-08,Marketing,6988.0,"Street 46, City 47",8719656362,email_188@example.com
3,Name_861,61.0,60000.0,2019-06-03,HR,7407.0,"Street 63, City 1",2117810064,email_249@example.com
4,Name_271,36.0,70000.0,2024-02-10,Unknown,6192.0,"Street 92, City 26",5906910584,email_164@example.com
5,Name_107,78.0,60000.0,,IT,3924.0,"Street 45, City 5",6942926214,email_161@example.com
6,Name_72,35.0,60000.0,2022-10-28,IT,5406.0,"Street 89, City 15",7206795282,email_56@example.com
7,Name_701,73.0,60000.0,2017-01-25,Finance,9283.0,"Street 9, City 31",5451138622,email_962@example.com
8,Name_21,18.0,60000.0,2019-01-31,IT,6788.0,"Street 23, City 48",6262928483,email_315@example.com
9,Name_615,42.0,50000.0,2017-11-14,IT,4680.0,,,
10,Name_122,44.0,50000.0,2022-06-23,HR,6085.0,"Street 1, City 30",3549978486,email_98@example.com
11,Name_467,24.0,70000.0,2019-07-25,Finance,4098.0,"Street 69, City 2",7875904327,email_866@example.com
12,Name_215,61.0,60000.0,2024-05-10,IT,3153.0,"Street 97, City 16",1723934436,email_353@example.com
13,Name_331,59.0,70000.0,2020-02-17,IT,9656.0,,,
14,Name_459,46.0,60000.0,,Unknown,5296.0,"Street 8, City 28",1939300593,email_516@example.com
15,Name_88,48.0,60000.0,2017-03-31,IT,5737.0,"Street 43, City 8",2132077724,email_702@example.com
16,Name_373,61.0,60000.0,2025-06-28,HR,6409.0,"Street 94, City 27",5362144129,email_713@example.com
17,Name_100,60.0,60000.0,2018-07-10,IT,5482.0,"Street 98, City 44",4821987559,email_967@example.com
18,Name_872,53.0,60000.0,2019-03-09,IT,2356.0,"Street 74, City 8",4683635781,email_201@example.com
19,Name_664,36.0,50000.0,2022-09-10,Marketing,,"Street 18, City 38",8003332436,email_933@example.com
20,Name_131,23.0,70000.0,2023-06-07,IT,,"Street 30, City 32",1248387161,email_988@example.com
21,Name_662,42.0,60000.0,2017-06-10,Finance,9768.0,"Street 43, City 2",8255728912,email_908@example.com
22,Name_309,48.0,70000.0,2021-09-13,Marketing,4244.0,"Street 87, City 22",2951776702,email_648@example.com
23,Name_770,26.0,60000.0,2024-12-20,Finance,4470.0,"Street 75, City 35",4355812716,email_59@example.com
24,Name_344,37.0,70000.0,2021-10-26,Finance,8869.0,"Street 8, City 35",4237648876,email_363@example.com
25,Name_492,27.0,60000.0,2023-08-18,HR,3627.0,"Street 10, City 16",6995257715,email_96@example.com
26,Name_414,54.0,60000.0,2025-10-09,IT,1058.0,"Street 71, City 34",2359135711,email_332@example.com
27,Name_806,44.0,60000.0,2022-12-08,Finance,1969.0,"Street 28, City 30",3280732091,email_983@example.com
28,Name_386,30.0,70000.0,2020-04-11,IT,2305.0,"Street 82, City 14",8102410856,email_17@example.com
29,Name_192,58.0,70000.0,2023-10-24,IT,9297.0,"Street 64, City 41",4437237526,email_580@example.com
30,Name_956,19.0,60000.0,2018-06-22,HR,3259.0,,,
31,Name_277,67.0,70000.0,2020-09-22,HR,6889.0,"Street 52, City 49",3526743874,email_285@example.com
32,Name_161,38.0,50000.0,,Finance,5177.0,"Street 23, City 48",9142424785,email_125@example.com
33,Name_460,50.0,70000.0,2024-01-01,Finance,7968.0,,,
34,Name_314,41.0,60000.0,2023-12-17,Marketing,5688.0,"Street 42, City 31",9012279610,email_374@example.com
35,Name_22,70.0,50000.0,2021-01-18,IT,5372.0,"Street 89, City 9",6311272053,email_261@example.com
36,Name_253,61.0,50000.0,2019-10-21,IT,5366.0,"Street 85, City 23",8392781364,email_638@example.com
37,Name_748,59.0,70000.0,2016-10-10,HR,3926.0,,,
38,Name_857,51.0,60000.0,2017-09-20,HR,4177.0,"Street 12, City 38",5245606653,email_751@example.com
39,Name_561,77.0,60000.0,2020-08-15,Finance,7885.0,"Street 16, City 3",6933617235,email_178@example.com
40,Name_475,26.0,60000.0,2021-08-02,Marketing,4091.0,"Street 57, City 28",2200179527,email_642@example.com
41,Name_59,19.0,50000.0,2016-08-28,Marketing,2395.0,"Street 97, City 4",6466331797,email_202@example.com
42,Name_511,72.0,60000.0,2023-05-08,HR,7380.0,"Street 51, City 1",7836665765,email_120@example.com
43,Name_682,73.0,50000.0,2018-11-21,HR,,"Street 75, City 9",7882011136,email_942@example.com
44,Name_476,47.0,60000.0,,Marketing,3777.0,"Street 96, City 36",5490949635,email_297@example.com
45,Name_700,48.0,60000.0,2021-07-01,Marketing,1691.0,"Street 61, City 11",7593468316,email_249@example.com
46,Name_976,63.0,70000.0,2022-02-11,Finance,3033.0,"Street 99, City 22",2776463285,email_445@example.com
47,Name_783,28.0,60000.0,2019-07-01,Marketing,5145.0,"Street 73, City 23",2708299602,email_749@example.com
48,Name_190,72.0,50000.0,2023-04-05,IT,7831.0,"Street 17, City 27",8473076411,email_351@example.com
49,Name_958,60.0,70000.0,2019-09-26,Marketing,8005.0,"Street 43, City 32",6195473850,email_722@example.com
50,Name_687,34.0,50000.0,2021-12-15,Unknown,7612.0,,,
51,Name_958,53.0,70000.0,2019-01-28,Marketing,2696.0,"Street 42, City 49",6628581794,email_4@example.com
52,Name_563,30.0,50000.0,2016-01-01,HR,8563.0,"Street 28, City 30",1949370265,email_38@example.com
53,Name_876,24.0,60000.0,,HR,4726.0,"Street 26, City 12",4206492950,email_447@example.com
54,Name_567,33.0,60000.0,2022-11-01,Unknown,6294.0,,,
55,Name_244,50.0,60000.0,2018-08-15,IT,5325.0,"Street 58, City 21",8333760974,email_71@example.com
