id,name,age,salary,hire_date,profile,department,bonus
1,Name_103,77.0,60000,2019-12-30,"{""address"": ""Street 37, City 13"", ""phone"": ""5917896310"", ""email"": ""email_469@example.com""}",Marketing,3436.0
2,Name_436,62.0,50000,2025-05-08,"{""address"": ""Street 46, City 47"", ""phone"": ""8719656362"", ""email"": ""email_188@example.com""}",Marketing,6988.0
3,Name_861,61.0,60000,2019-06-03,"{""address"": ""Street 63, City 1"", ""phone"": ""2117810064"", ""email"": ""email_249@example.com""}",HR,7407.0
4,Name_271,36.0,70000,2024-02-10,"{""address"": ""Street 92, City 26"", ""phone"": ""5906910584"", ""email"": ""email_164@example.com""}",,6192.0
5,Name_107,78.0,60000,,"{""address"": ""Street 45, City 5"", ""phone"": ""6942926214"", ""email"": ""email_161@example.com""}",IT,3924.0
6,Name_72,35.0,,2022-10-28,"{""address"": ""Street 89, City 15"", ""phone"": ""7206795282"", ""email"": ""email_56@example.com""}",IT,5406.0
7,Name_701,73.0,60000,2017-01-25,"{""address"": ""Street 9, City 31"", ""phone"": ""5451138622"", ""email"": ""email_962@example.com""}",Finance,9283.0
8,Name_21,18.0,60000,2019-01-31,"{""address"": ""Street 23, City 48"", ""phone"": ""6262928483"", ""email"": ""email_315@example.com""}",IT,6788.0
9,Name_615,42.0,50000,2017-11-14,,IT,4680.0
10,Name_122,44.0,50000,2022-06-23,"{""address"": ""Street 1, City 30"", ""phone"": ""3549978486"", ""email"": ""email_98@example.com""}",HR,6085.0
11,Name_467,24.0,70000,2019-07-25,"{""address"": ""Street 69, City 2"", ""phone"": ""7875904327"", ""email"": ""email_866@example.com""}",Finance,4098.0
12,Name_215,61.0,,2024-05-10,"{""address"": ""Street 97, City 16"", ""phone"": ""1723934436"", ""email"": ""email_353@example.com""}",IT,3153.0
13,Name_331,59.0,70000,2020-02-17,,IT,9656.0
14,Name_459,46.0,,,"{""address"": ""Street 8, City 28"", ""phone"": ""1939300593"", ""email"": ""email_516@example.com""}",,5296.0
15,Name_88,48.0,,2017-03-31,"{""address"": ""Street 43, City 8"", ""phone"": ""2132077724"", ""email"": ""email_702@example.com""}",IT,5737.0
16,Name_373,61.0,,2025-06-28,"{""address"": ""Street 94, City 27"", ""phone"": ""5362144129"", ""email"": ""email_713@example.com""}",HR,6409.0
17,Name_100,60.0,60000,2018-07-10,"{""address"": ""Street 98, City 44"", ""phone"": ""4821987559"", ""email"": ""email_967@example.com""}",IT,5482.0
18,Name_872,53.0,60000,2019-03-09,"{""address"": ""Street 74, City 8"", ""phone"": ""4683635781"", ""email"": ""email_201@example.com""}",IT,2356.0
19,Name_664,36.0,50000,2022-09-10,"{""address"": ""Street 18, City 38"", ""phone"": ""8003332436"", ""email"": ""email_933@example.com""}",Marketing,
20,Name_131,23.0,70000,2023-06-07,"{""address"": ""Street 30, City 32"", ""phone"": ""1248387161"", ""email"": ""email_988@example.com""}",IT,
21,Name_662,42.0,60000,2017-06-10,"{""address"": ""Street 43, City 2"", ""phone"": ""8255728912"", ""email"": ""email_908@example.com""}",Finance,9768.0
22,Name_309,48.0,70000,2021-09-13,"{""address"": ""Street 87, City 22"", ""phone"": ""2951776702"", ""email"": ""email_648@example.com""}",Marketing,4244.0
23,Name_770,26.0,60000,2024-12-20,"{""address"": ""Street 75, City 35"", ""phone"": ""4355812716"", ""email"": ""email_59@example.com""}",Finance,4470.0
24,Name_344,37.0,70000,2021-10-26,"{""address"": ""Street 8, City 35"", ""phone"": ""4237648876"", ""email"": ""email_363@example.com""}",Finance,8869.0
25,Name_492,27.0,,2023-08-18,"{""address"": ""Street 10, City 16"", ""phone"": ""6995257715"", ""email"": ""email_96@example.com""}",HR,3627.0
26,Name_414,54.0,,2025-10-09,"{""address"": ""Street 71, City 34"", ""phone"": ""2359135711"", ""email"": ""email_332@example.com""}",IT,1058.0
27,Name_806,44.0,60000,2022-12-08,"{""address"": ""Street 28, City 30"", ""phone"": ""3280732091"", ""email"": ""email_983@example.com""}",Finance,1969.0
28,Name_386,30.0,70000,2020-04-11,"{""address"": ""Street 82, City 14"", ""phone"": ""8102410856"", ""email"": ""email_17@example.com""}",IT,2305.0
29,Name_192,58.0,70000,2023-10-24,"{""address"": ""Street 64, City 41"", ""phone"": ""4437237526"", ""email"": ""email_580@example.com""}",IT,9297.0
30,Name_956,19.0,,2018-06-22,,HR,3259.0
31,Name_277,67.0,70000,2020-09-22,"{""address"": ""Street 52, City 49"", ""phone"": ""3526743874"", ""email"": ""email_285@example.com""}",HR,6889.0
32,Name_161,38.0,50000,,"{""address"": ""Street 23, City 48"", ""phone"": ""9142424785"", ""email"": ""email_125@example.com""}",Finance,5177.0
33,Name_460,50.0,70000,2024-01-01,,Finance,7968.0
34,Name_314,41.0,,2023-12-17,"{""address"": ""Street 42, City 31"", ""phone"": ""9012279610"", ""email"": ""email_374@example.com""}",Marketing,5688.0
35,Name_22,70.0,50000,2021-01-18,"{""address"": ""Street 89, City 9"", ""phone"": ""6311272053"", ""email"": ""email_261@example.com""}",IT,5372.0
36,Name_253,61.0,50000,2019-10-21,"{""address"": ""Street 85, City 23"", ""phone"": ""8392781364"", ""email"": ""email_638@example.com""}",IT,5366.0
37,Name_748,59.0,70000,2016-10-10,,HR,3926.0
38,Name_857,51.0,,2017-09-20,"{""address"": ""Street 12, City 38"", ""phone"": ""5245606653"", ""email"": ""email_751@example.com""}",HR,4177.0
39,Name_561,77.0,,2020-08-15,"{""address"": ""Street 16, City 3"", ""phone"": ""6933617235"", ""email"": ""email_178@example.com""}",Finance,7885.0
40,Name_475,26.0,,2021-08-02,"{""address"": ""Street 57, City 28"", ""phone"": ""2200179527"", ""email"": ""email_642@example.com""}",Marketing,4091.0
41,Name_59,19.0,50000,2016-08-28,"{""address"": ""Street 97, City 4"", ""phone"": ""6466331797"", ""email"": ""email_202@example.com""}",Marketing,2395.0
42,Name_511,72.0,,2023-05-08,"{""address"": ""Street 51, City 1"", ""phone"": ""7836665765"", ""email"": ""email_120@example.com""}",HR,7380.0
43,Name_682,73.0,50000,2018-11-21,"{""address"": ""Street 75, City 9"", ""phone"": ""7882011136"", ""email"": ""email_942@example.com""}",HR,
44,Name_476,47.0,,,"{""address"": ""Street 96, City 36"", ""phone"": ""5490949635"", ""email"": ""email_297@example.com""}",Marketing,3777.0
45,Name_700,,60000,2021-07-01,"{""address"": ""Street 61, City 11"", ""phone"": ""7593468316"", ""email"": ""email_249@example.com""}",Marketing,1691.0
46,Name_976,63.0,70000,2022-02-11,"{""address"": ""Street 99, City 22"", ""phone"": ""2776463285"", ""email"": ""email_445@example.com""}",Finance,3033.0
47,Name_783,28.0,,2019-07-01,"{""address"": ""Street 73, City 23"", ""phone"": ""2708299602"", ""email"": ""email_749@example.com""}",Marketing,5145.0
48,Name_190,72.0,50000,2023-04-05,"{""address"": ""Street 17, City 27"", ""phone"": ""8473076411"", ""email"": ""email_351@example.com""}",IT,7831.0
49,Name_958,60.0,70000,2019-09-26,"{""address"": ""Street 43, City 32"", ""phone"": ""6195473850"", ""email"": ""email_722@example.com""}",Marketing,8005.0
50,Name_687,34.0,50000,2021-12-15,,,7612.0
51,Name_958,53.0,70000,2019-01-28,"{""address"": ""Street 42, City 49"", ""phone"": ""6628581794"", ""email"": ""email_4@example.com""}",Marketing,2696.0
52,Name_563,30.0,50000,2016-01-01,"{""address"": ""Street 28, City 30"", ""phone"": ""1949370265"", ""email"": ""email_38@example.com""}",HR,8563.0
53,Name_876,24.0,,,"{""address"": ""Street 26, City 12"", ""phone"": ""4206492950"", ""email"": ""email_447@example.com""}",HR,4726.0
54,Name_567,33.0,60000,2022-11-01,,,6294.0
55,Name_244,50.0,60000,2018-08-15,"{""address"": ""Street 58, City 21"", ""phone"": ""8333760974"", ""email"": ""email_71@example.com""}",IT,5325.0
56,Name_832,62.0,60000,2016-06-06,"{""address"": ""Street 1, City 12"", ""phone"": ""9590207419"", ""email"": ""email_604@example.com""}",Marketing,6121.0
57,Name_505,18.0,,2024-01-16,"{""address"": ""Street 1, City 10"", ""phone"": ""5421934239"", ""email"": ""email_205@example.com""}",Marketing,1690.0
58,Name_131,28.0,70000,2021-04-13,,,6995.0
59,Name_485,23.0,,2017-03-01,"{""address"": ""Street 70, City 37"", ""phone"": ""9149421941"", ""email"": ""email_542@example.com""}",Finance,6978.0
60,Name_819,37.0,,,"{""address"": ""Street 82, City 36"", ""phone"": ""9803441765"", ""email"": ""email_324@example.com""}",Finance,5631.0
61,Name_647,52.0,50000,2025-07-25,"{""address"": ""Street 49, City 1"", ""phone"": ""9605857548"", ""email"": ""email_479@example.com""}",IT,4072.0
62,Name_21,61.0,60000,2021-10-19,"{""address"": ""Street 70, City 10"", ""phone"": ""6655124208"", ""email"": ""email_823@example.com""}",Marketing,4697.0
63,Name_841,54.0,50000,2025-07-22,"{""address"": ""Street 52, City 5"", ""phone"": ""2483135361"", ""email"": ""email_861@example.com""}",Marketing,7067.0
64,Name_167,58.0,70000,2021-05-26,"{""address"": ""Street 13, City 46"", ""phone"": ""9337153294"", ""email"": ""email_142@example.com""}",Marketing,8806.0
65,Name_274,43.0,60000,2023-06-19,"{""address"": ""Street 17, City 6"", ""phone"": ""4530813942"", ""email"": ""email_997@example.com""}",HR,
66,Name_388,75.0,50000,2021-02-22,"{""address"": ""Street 7, City 43"", ""phone"": ""1608257186"", ""email"": ""email_947@example.com""}",Finance,4890.0
67,Name_601,29.0,70000,2019-04-08,"{""address"": ""Street 83, City 13"", ""phone"": ""1348471650"", ""email"": ""email_606@example.com""}",,8510.0
68,Name_316,79.0,60000,2017-11-02,"{""address"": ""Street 64, City 25"", ""phone"": ""7194567228"", ""email"": ""email_378@example.com""}",HR,6991.0
69,Name_14,47.0,,2021-11-01,"{""address"": ""Street 59, City 26"", ""phone"": ""1818252938"", ""email"": ""email_151@example.com""}",HR,5065.0
70,Name_242,45.0,70000,2023-04-12,"{""address"": ""Street 99, City 34"", ""phone"": ""4594850310"", ""email"": ""email_573@example.com""}",Finance,2477.0
71,Name_777,44.0,,2023-12-30,"{""address"": ""Street 75, City 23"", ""phone"": ""4765122325"", ""email"": ""email_13@example.com""}",Marketing,4408.0
72,Name_346,59.0,70000,2022-05-16,"{""address"": ""Street 36, City 7"", ""phone"": ""4457610755"", ""email"": ""email_164@example.com""}",IT,9667.0
73,Name_565,36.0,60000,2022-12-16,"{""address"": ""Street 13, City 26"", ""phone"": ""4809823039"", ""email"": ""email_401@example.com""}",,7747.0
74,Name_898,22.0,50000,2018-05-07,"{""address"": ""Street 73, City 1"", ""phone"": ""1135369040"", ""email"": ""email_295@example.com""}",Finance,6082.0
75,Name_340,75.0,50000,2016-10-04,"{""address"": ""Street 9, City 25"", ""phone"": ""4203026691"", ""email"": ""email_725@example.com""}",IT,9700.0
76,Name_92,22.0,50000,,"{""address"": ""Street 38, City 49"", ""phone"": ""5663434275"", ""email"": ""email_74@example.com""}",Finance,9564.0
77,Name_367,58.0,50000,2019-09-03,"{""address"": ""Street 63, City 7"", ""phone"": ""6886619641"", ""email"": ""email_992@example.com""}",Finance,6176.0
78,Name_956,44.0,70000,2016-09-23,"{""address"": ""Street 40, City 40"", ""phone"": ""7162472200"", ""email"": ""email_972@example.com""}",Finance,8825.0
79,Name_455,45.0,50000,2024-10-11,,Finance,8667.0
80,Name_428,43.0,50000,2020-06-11,"{""address"": ""Street 76, City 3"", ""phone"": ""4049616227"", ""email"": ""email_485@example.com""}",Marketing,7454.0
