id,name,age,salary,hire_date,department,bonus,address,phone,email,address_length,salary_category
1,Name_103,77.0,60000.0,2019-12-30,Marketing,3436.0,"Street 37, City 13",5917896310.0,email_469@example.com,18,medium
2,Name_436,62.0,50000.0,2025-05-08,Marketing,6988.0,"Street 46, City 47",8719656362.0,email_188@example.com,18,low
3,Name_861,61.0,60000.0,2019-06-03,HR,7407.0,"Street 63, City 1",2117810064.0,email_249@example.com,17,medium
4,Name_271,36.0,70000.0,2024-02-10,Unknown,6192.0,"Street 92, City 26",5906910584.0,email_164@example.com,18,medium
5,Name_107,78.0,60000.0,,IT,3924.0,"Street 45, City 5",6942926214.0,email_161@example.com,17,medium
6,Name_72,35.0,60000.0,2022-10-28,IT,5406.0,"Street 89, City 15",7206795282.0,email_56@example.com,18,medium
7,Name_701,73.0,60000.0,2017-01-25,Finance,9283.0,"Street 9, City 31",5451138622.0,email_962@example.com,17,medium
8,Name_21,18.0,60000.0,2019-01-31,IT,6788.0,"Street 23, City 48",6262928483.0,email_315@example.com,18,medium
9,Name_615,42.0,50000.0,2017-11-14,IT,4680.0,,,,3,low
10,Name_122,44.0,50000.0,2022-06-23,HR,6085.0,"Street 1, City 30",3549978486.0,email_98@example.com,17,low
11,Name_467,24.0,70000.0,2019-07-25,Finance,4098.0,"Street 69, City 2",7875904327.0,email_866@example.com,17,medium
12,Name_215,61.0,60000.0,2024-05-10,IT,3153.0,"Street 97, City 16",1723934436.0,email_353@example.com,18,medium
13,Name_331,59.0,70000.0,2020-02-17,IT,9656.0,,,,3,medium
14,Name_459,46.0,60000.0,,Unknown,5296.0,"Street 8, City 28",1939300593.0,email_516@example.com,17,medium
15,Name_88,48.0,60000.0,2017-03-31,IT,5737.0,"Street 43, City 8",2132077724.0,email_702@example.com,17,medium
16,Name_373,61.0,60000.0,2025-06-28,HR,6409.0,"Street 94, City 27",5362144129.0,email_713@example.com,18,medium
17,Name_100,60.0,60000.0,2018-07-10,IT,5482.0,"Street 98, City 44",4821987559.0,email_967@example.com,18,medium
18,Name_872,53.0,60000.0,2019-03-09,IT,2356.0,"Street 74, City 8",4683635781.0,email_201@example.com,17,medium
19,Name_664,36.0,50000.0,2022-09-10,Marketing,,"Street 18, City 38",8003332436.0,email_933@example.com,18,low
20,Name_131,23.0,70000.0,2023-06-07,IT,,"Street 30, City 32",1248387161.0,email_988@example.com,18,medium
21,Name_662,42.0,60000.0,2017-06-10,Finance,9768.0,"Street 43, City 2",8255728912.0,email_908@example.com,17,medium
22,Name_309,48.0,70000.0,2021-09-13,Marketing,4244.0,"Street 87, City 22",2951776702.0,email_648@example.com,18,medium
23,Name_770,26.0,60000.0,2024-12-20,Finance,4470.0,"Street 75, City 35",4355812716.0,email_59@example.com,18,medium
24,Name_344,37.0,70000.0,2021-10-26,Finance,8869.0,"Street 8, City 35",4237648876.0,email_363@example.com,17,medium
25,Name_492,27.0,60000.0,2023-08-18,HR,3627.0,"Street 10, City 16",6995257715.0,email_96@example.com,18,medium
26,Name_414,54.0,60000.0,2025-10-09,IT,1058.0,"Street 71, City 34",2359135711.0,email_332@example.com,18,medium
27,Name_806,44.0,60000.0,2022-12-08,Finance,1969.0,"Street 28, City 30",3280732091.0,email_983@example.com,18,medium
28,Name_386,30.0,70000.0,2020-04-11,IT,2305.0,"Street 82, City 14",8102410856.0,email_17@example.com,18,medium
29,Name_192,58.0,70000.0,2023-10-24,IT,9297.0,"Street 64, City 41",4437237526.0,email_580@example.com,18,medium
30,Name_956,19.0,60000.0,2018-06-22,HR,3259.0,,,,3,medium
31,Name_277,67.0,70000.0,2020-09-22,HR,6889.0,"Street 52, City 49",3526743874.0,email_285@example.com,18,medium
32,Name_161,38.0,50000.0,,Finance,5177.0,"Street 23, City 48",9142424785.0,email_125@example.com,18,low
33,Name_460,50.0,70000.0,2024-01-01,Finance,7968.0,,,,3,medium
34,Name_314,41.0,60000.0,2023-12-17,Marketing,5688.0,"Street 42, City 31",9012279610.0,email_374@example.com,18,medium
35,Name_22,70.0,50000.0,2021-01-18,IT,5372.0,"Street 89, City 9",6311272053.0,email_261@example.com,17,low
36,Name_253,61.0,50000.0,2019-10-21,IT,5366.0,"Street 85, City 23",8392781364.0,email_638@example.com,18,low
37,Name_748,59.0,70000.0,2016-10-10,HR,3926.0,,,,3,medium
38,Name_857,51.0,60000.0,2017-09-20,HR,4177.0,"Street 12, City 38",5245606653.0,email_751@example.com,18,medium
39,Name_561,77.0,60000.0,2020-08-15,Finance,7885.0,"Street 16, City 3",6933617235.0,email_178@example.com,17,medium
40,Name_475,26.0,60000.0,2021-08-02,Marketing,4091.0,"Street 57, City 28",2200179527.0,email_642@example.com,18,medium
41,Name_59,19.0,50000.0,2016-08-28,Marketing,2395.0,"Street 97, City 4",6466331797.0,email_202@example.com,17,low
42,Name_511,72.0,60000.0,2023-05-08,HR,7380.0,"Street 51, City 1",7836665765.0,email_120@example.com,17,medium
43,Name_682,73.0,50000.0,2018-11-21,HR,,"Street 75, City 9",7882011136.0,email_942@example.com,17,low
44,Name_476,47.0,60000.0,,Marketing,3777.0,"Street 96, City 36",5490949635.0,email_297@example.com,18,medium
45,Name_700,48.0,60000.0,2021-07-01,Marketing,1691.0,"Street 61, City 11",7593468316.0,email_249@example.com,18,medium
46,Name_976,63.0,70000.0,2022-02-11,Finance,3033.0,"Street 99, City 22",2776463285.0,email_445@example.com,18,medium
